var_yr,var_scope,var_grade,var_key,var_schoolType,var_ethnic,population,var_type,metrics_new,estimated,notes
2021,city_chi,k8_8th,math_advc,cps,asian,379,count,2021___city_chi___k8_8th___math_advc___cps,,
2021,city_chi,k8_8th,math_algebra_pass,cps,black,1083,count,2021___city_chi___k8_8th___math_algebra_pass___cps,,
2021,city_chi,k8_8th,math_algebra_pass,cps,hispanic,2749,count,2021___city_chi___k8_8th___math_algebra_pass___cps,,
2021,city_chi,k8_8th,math_algebra_pass,cps,white,1282,count,2021___city_chi___k8_8th___math_algebra_pass___cps,,
2021,city_chi,k8_8th,math_algebra_pass,cps,asian,547,count,2021___city_chi___k8_8th___math_algebra_pass___cps,,
2021,city_chi,k8_8th,math_basic,cps,all,9007,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_basic,cps,black_hispanic,8063,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_basic,cps,white_asian,944,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_basic,cps,black,3563,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_basic,cps,hispanic,4500,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_basic,cps,white,770,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_basic,cps,asian,174,count,2021___city_chi___k8_8th___math_basic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,all,9514,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,black_hispanic,9032,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,white_asian,482,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,black,4407,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,hispanic,4625,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,white,359,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_belowBasic,cps,asian,123,count,2021___city_chi___k8_8th___math_belowBasic___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,all,6944,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,black_hispanic,4781,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,white_asian,2163,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,black,1406,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,hispanic,3375,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,white,1437,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_8th,math_prof&abov,cps,asian,726,count,2021___city_chi___k8_8th___math_prof&abov___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,all,20717,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,black_hispanic,17672,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,white_asian,2679,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,black,10133,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,hispanic,7539,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,white,1325,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,city_chi,k8_total,mag_stem_enrol,cps,asian,1354,count,2021___city_chi___k8_total___mag_stem_enrol___cps,,
2021,college,col,t3_mellon_cs_enrol,NA,all,600,count,2021___college___col___t3_mellon_cs_enrol,,
2021,college,col,t3_mellon_cs_enrol,NA,black_hispanic,71,count,2021___college___col___t3_mellon_cs_enrol,,
2021,college,col,t3_mellon_cs_enrol,NA,white_asian,529,count,2021___college___col___t3_mellon_cs_enrol,,
2021,college,col,t3_mellon_cs_enrol,NA,black,18,count,2021___college___col___t3_mellon_cs_enrol,,
2021,college,col,t3_mellon_cs_enrol,NA,hispanic,53,count,2021___college___col___t3_mellon_cs_enrol,,
2021,college,col,t3_mellon_cs_enrol,NA,white,168,count,2021___college___col___t3_mellon_cs_enrol,,
2021,college,col,t3_mellon_cs_enrol,NA,asian,361,count,2021___college___col___t3_mellon_cs_enrol,,
2021,college,col,t3_mellon_total_enrol,NA,all,4814,count,2021___college___col___t3_mellon_total_enrol,,
2021,college,col,t3_mellon_total_enrol,NA,black_hispanic,866,count,2021___college___col___t3_mellon_total_enrol,,
2021,college,col,t3_mellon_total_enrol,NA,white_asian,3948,count,2021___college___col___t3_mellon_total_enrol,,
2021,college,col,t3_mellon_total_enrol,NA,black,255,count,2021___college___col___t3_mellon_total_enrol,,
2021,college,col,t3_mellon_total_enrol,NA,hispanic,611,count,2021___college___col___t3_mellon_total_enrol,,
2021,college,col,t3_mellon_total_enrol,NA,white,1661,count,2021___college___col___t3_mellon_total_enrol,,
2021,college,col,t3_mellon_total_enrol,NA,asian,2287,count,2021___college___col___t3_mellon_total_enrol,,
2021,college,col,t3_mit_cs_enrol,NA,all,1257,count,2021___college___col___t3_mit_cs_enrol,,
2021,college,col,t3_mit_cs_enrol,NA,black_hispanic,301,count,2021___college___col___t3_mit_cs_enrol,,
2021,college,col,t3_mit_cs_enrol,NA,white_asian,956,count,2021___college___col___t3_mit_cs_enrol,,
2021,college,col,t3_mit_cs_enrol,NA,black,75,count,2021___college___col___t3_mit_cs_enrol,,
2021,college,col,t3_mit_cs_enrol,NA,hispanic,226,count,2021___college___col___t3_mit_cs_enrol,,
2021,college,col,t3_mit_cs_enrol,NA,white,390,count,2021___college___col___t3_mit_cs_enrol,,
2021,college,col,t3_mit_cs_enrol,NA,asian,566,count,2021___college___col___t3_mit_cs_enrol,,
2021,college,col,t3_mit_total_enrol,NA,all,4156,count,2021___college___col___t3_mit_total_enrol,,
2021,college,col,t3_mit_total_enrol,NA,black_hispanic,1038,count,2021___college___col___t3_mit_total_enrol,,
2021,college,col,t3_mit_total_enrol,NA,white_asian,3118,count,2021___college___col___t3_mit_total_enrol,,
2021,college,col,t3_mit_total_enrol,NA,black,336,count,2021___college___col___t3_mit_total_enrol,,
2021,college,col,t3_mit_total_enrol,NA,hispanic,702,count,2021___college___col___t3_mit_total_enrol,,
2021,college,col,t3_mit_total_enrol,NA,white,1582,count,2021___college___col___t3_mit_total_enrol,,
2021,college,col,t3_mit_total_enrol,NA,asian,1536,count,2021___college___col___t3_mit_total_enrol,,
2021,college,col,t3_stanford_cs_enrol,NA,all,698,count,2021___college___col___t3_stanford_cs_enrol,,
2021,college,col,t3_stanford_cs_enrol,NA,black_hispanic,109,count,2021___college___col___t3_stanford_cs_enrol,,
2021,college,col,t3_stanford_cs_enrol,NA,white_asian,589,count,2021___college___col___t3_stanford_cs_enrol,,
2021,college,col,t3_stanford_cs_enrol,NA,black,43,count,2021___college___col___t3_stanford_cs_enrol,,
2021,college,col,t3_stanford_cs_enrol,NA,hispanic,66,count,2021___college___col___t3_stanford_cs_enrol,,
2021,college,col,t3_stanford_cs_enrol,NA,white,265,count,2021___college___col___t3_stanford_cs_enrol,,
2021,college,col,t3_stanford_cs_enrol,NA,asian,324,count,2021___college___col___t3_stanford_cs_enrol,,
2021,college,col,t3_stanford_total_enrol,NA,all,5963,count,2021___college___col___t3_stanford_total_enrol,,
2021,college,col,t3_stanford_total_enrol,NA,black_hispanic,1911,count,2021___college___col___t3_stanford_total_enrol,,
2021,college,col,t3_stanford_total_enrol,NA,white_asian,4052,count,2021___college___col___t3_stanford_total_enrol,,
2021,college,col,t3_stanford_total_enrol,NA,black,535,count,2021___college___col___t3_stanford_total_enrol,,
2021,college,col,t3_stanford_total_enrol,NA,hispanic,1376,count,2021___college___col___t3_stanford_total_enrol,,
2021,college,col,t3_stanford_total_enrol,NA,white,1911,count,2021___college___col___t3_stanford_total_enrol,,
2021,college,col,t3_stanford_total_enrol,NA,asian,2141,count,2021___college___col___t3_stanford_total_enrol,,
2021,region_chi_msa,emp,csjob_t11,NA,all,123681,count,2021___region_chi_msa___emp___csjob_t11,,
2021,region_chi_msa,emp,csjob_t11,NA,black_hispanic,17847,count,2021___region_chi_msa___emp___csjob_t11,,
2021,region_chi_msa,emp,csjob_t11,NA,white_asian,105834,count,2021___region_chi_msa___emp___csjob_t11,,
