"var_yr","var_scope","var_grade","var_key","var_schoolType","var_ethnic","population","var_type","metrics_new"
2021,"city_chi","k8_8th","math_advc","cps","hispanic","750","count","city_chi___2021___k8_8th___math_advc___cps___hispanic"
2021,"city_chi","k8_8th","math_advc","cps","white","565","count","city_chi___2021___k8_8th___math_advc___cps___white"
2021,"city_chi","k8_8th","math_advc","cps","asian","379","count","city_chi___2021___k8_8th___math_advc___cps___asian"
2021,"usa","col","t3_cs_enrol","allSchools","all","2555","count","usa___2021___col___t3_cs_enrol___allSchools___all"
2021,"usa","col","t3_cs_enrol","allSchools","black_hispanic","481","count","usa___2021___col___t3_cs_enrol___allSchools___black_hispanic"
2021,"usa","col","t3_cs_enrol","allSchools","white_asian","2074","count","usa___2021___col___t3_cs_enrol___allSchools___white_asian"
2021,"usa","col","t3_cs_enrol","allSchools","black","136","count","usa___2021___col___t3_cs_enrol___allSchools___black"
2021,"usa","col","t3_cs_enrol","allSchools","hispanic","345","count","usa___2021___col___t3_cs_enrol___allSchools___hispanic"
2021,"usa","col","t3_cs_enrol","allSchools","white","823","count","usa___2021___col___t3_cs_enrol___allSchools___white"
2021,"usa","col","t3_cs_enrol","allSchools","asian","1251","count","usa___2021___col___t3_cs_enrol___allSchools___asian"
2021,"state_il","col","cs_confer","allSchools","all","2953","count","state_il___2021___col___cs_confer___allSchools___all"
2021,"state_il","col","cs_confer","allSchools","black_hispanic","642","count","state_il___2021___col___cs_confer___allSchools___black_hispanic"
2021,"state_il","col","cs_confer","allSchools","white_asian","2311","count","state_il___2021___col___cs_confer___allSchools___white_asian"
2021,"state_il","col","cs_confer","allSchools","black","193","count","state_il___2021___col___cs_confer___allSchools___black"
2021,"state_il","col","cs_confer","allSchools","hispanic","449","count","state_il___2021___col___cs_confer___allSchools___hispanic"
2021,"state_il","col","cs_confer","allSchools","white","1439","count","state_il___2021___col___cs_confer___allSchools___white"
2021,"state_il","col","cs_confer","allSchools","asian","872","count","state_il___2021___col___cs_confer___allSchools___asian"
2021,"state_il","col","t3_cs_enrol","allSchools","all","3204","count","state_il___2021___col___t3_cs_enrol___allSchools___all"
2021,"state_il","col","t3_cs_enrol","allSchools","black_hispanic","380","count","state_il___2021___col___t3_cs_enrol___allSchools___black_hispanic"
2021,"state_il","col","t3_cs_enrol","allSchools","white_asian","2824","count","state_il___2021___col___t3_cs_enrol___allSchools___white_asian"
2021,"state_il","col","t3_cs_enrol","allSchools","black","97","count","state_il___2021___col___t3_cs_enrol___allSchools___black"
2021,"state_il","col","t3_cs_enrol","allSchools","hispanic","283","count","state_il___2021___col___t3_cs_enrol___allSchools___hispanic"
2021,"state_il","col","t3_cs_enrol","allSchools","white","983","count","state_il___2021___col___t3_cs_enrol___allSchools___white"
2021,"state_il","col","t3_cs_enrol","allSchools","asian","1841","count","state_il___2021___col___t3_cs_enrol___allSchools___asian"
2021,"usa","col","t3_confer","allSchools","all","3487","count","usa___2021___col___t3_confer___allSchools___all"
2021,"usa","col","t3_confer","allSchools","black_hispanic","792","count","usa___2021___col___t3_confer___allSchools___black_hispanic"
2021,"usa","col","t3_confer","allSchools","white_asian","2695","count","usa___2021___col___t3_confer___allSchools___white_asian"
2021,"usa","col","t3_confer","allSchools","black","231","count","usa___2021___col___t3_confer___allSchools___black"
2021,"usa","col","t3_confer","allSchools","hispanic","561","count","usa___2021___col___t3_confer___allSchools___hispanic"
2021,"usa","col","t3_confer","allSchools","white","1541","count","usa___2021___col___t3_confer___allSchools___white"
